                 1      2      4      8     16
ImageNet       63.80  64.34  65.64  66.86  68.79
StanfordCars   61.98  63.36  65.69  70.31  76.73
UCF101         68.60  70.45  72.96  78.06  79.94
Caltech101     91.85  92.37  93.14  93.83  94.60
Flowers102     80.88  84.94  90.95  92.98  95.86
SUN397         64.89  66.81  69.17  70.34  72.60
DTD            53.43  56.32  60.99  66.19  69.62
Eurosat        69.00  72.86  83.90  86.48  88.68
FGVCAircraft   24.96  26.04  32.94  40.38  49.05
OxfordPets     89.21  89.10  90.11  90.52  91.55
Food101        77.99  78.10  78.32  78.84  79.30
